zone_id,lat,lon,n_mineralized_obs,n_barren_obs,label_class,conflict,label,label_source,ndvi_mean,ndvi_std,sar_vv_mean,sar_vh_mean,lst_mean,rain_mean,elevation_m,slope_deg
r04_c04,21.695,80.095,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3621,0.1358,-10.2587,-17.4839,30.8646,1473.0126,301.1597,1.4945
r04_c05,21.695,80.105,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3627,0.1319,-9.6539,-16.9668,30.9514,1496.575,305.7071,1.1837
r04_c06,21.695,80.115,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3835,0.1492,-10.1739,-17.1934,30.9473,1496.7587,299.8163,1.0514
r04_c07,21.695,80.125,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3924,0.1435,-9.7754,-16.8687,30.8554,1496.7589,298.3418,1.0537
r04_c08,21.695,80.135,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3833,0.1383,-9.7227,-16.9339,30.9551,1496.7595,298.1887,1.3095
r04_c09,21.695,80.145,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3759,0.1383,-9.6442,-16.8676,31.0899,1496.7595,298.8823,1.0239
r04_c10,21.695,80.155,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3648,0.1512,-10.0428,-17.239,31.1738,1510.0536,299.8166,0.9466
r04_c11,21.695,80.165,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3621,0.1562,-9.9113,-17.3243,31.413,1510.5839,296.3991,0.898
r04_c12,21.695,80.175,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3639,0.1291,-9.8757,-17.3218,31.6953,1510.5838,292.4476,1.5131
r04_c13,21.695,80.185,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3438,0.1031,-12.077,-19.2049,31.4421,1510.5839,284.1111,2.3656
r04_c14,21.695,80.195,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.356,0.1126,-10.6361,-17.9901,31.1233,1510.9989,289.4458,1.6403
r04_c15,21.695,80.205,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3891,0.1411,-9.5302,-16.9962,30.8833,1530.5799,295.4737,1.0484
r04_c16,21.695,80.215,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4099,0.159,-10.0133,-17.4874,30.5926,1530.5799,295.7792,0.853
r04_c17,21.695,80.225,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.392,0.1469,-9.9926,-17.37,30.2435,1530.5799,294.9322,1.0775
r04_c18,21.695,80.235,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3849,0.1646,-10.4522,-17.9452,29.7968,1530.5801,293.7084,0.8833
r04_c19,21.695,80.245,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3987,0.1292,-9.7701,-17.1442,29.7801,1530.5801,291.4651,1.6958
r04_c20,21.695,80.255,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4184,0.1267,-9.8221,-16.8357,30.1335,1507.8411,289.6486,1.738
r04_c21,21.695,80.265,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3761,0.1407,-9.9224,-17.0477,30.3108,1507.6223,294.3636,1.4826
r04_c22,21.695,80.275,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4318,0.145,-10.4065,-17.7919,30.3224,1507.6223,293.8367,1.4144
r04_c23,21.695,80.285,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3262,0.1303,-10.2443,-17.8581,30.4629,1507.6223,297.4341,2.3024
r04_c24,21.695,80.295,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3414,0.1263,-10.1092,-17.3516,30.5911,1507.6224,294.3186,2.2751
r04_c25,21.695,80.305,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3838,0.1173,-9.4983,-16.6632,30.5245,1527.4413,293.1533,1.5565
r04_c26,21.695,80.315,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4089,0.1115,-9.4636,-16.4727,30.536,1528.2705,292.2006,1.9325
r04_c27,21.695,80.325,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.367,0.1206,-9.4434,-16.5954,30.5452,1528.2705,295.8719,1.5363
r04_c28,21.695,80.335,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3176,0.1083,-10.4579,-18.0224,30.6343,1528.2705,292.1534,1.6558
r04_c29,21.695,80.345,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3691,0.1268,-10.4243,-17.4871,30.5802,1528.9769,292.8475,1.5937
r05_c00,21.705,80.055,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3823,0.1342,-9.6072,-16.7536,30.4661,1472.1915,301.5485,1.0513
r05_c01,21.705,80.065,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3814,0.122,-9.8257,-16.8512,30.3305,1472.1915,303.7385,1.2115
r05_c02,21.705,80.075,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4518,0.1169,-9.5261,-16.3564,30.3933,1472.1915,306.8268,1.2276
r05_c03,21.705,80.085,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4588,0.1282,-9.4028,-16.1303,30.4067,1472.1915,312.554,3.4771
r05_c04,21.705,80.095,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3486,0.1239,-10.7305,-17.5887,30.6855,1472.1915,304.4526,1.6935
r05_c05,21.705,80.105,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3543,0.1433,-10.2678,-17.4792,30.9279,1521.8665,305.4818,1.0989
r05_c06,21.705,80.115,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.366,0.1431,-9.9344,-17.1524,30.9635,1522.2547,305.3189,1.0626
r05_c07,21.705,80.125,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3825,0.1356,-9.7078,-16.8786,30.9676,1522.2547,304.7544,1.1736
r05_c08,21.705,80.135,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3678,0.141,-9.7318,-17.0526,31.0968,1522.2547,302.02,1.1605
r05_c09,21.705,80.145,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3666,0.1362,-9.7752,-17.0328,31.1127,1522.2547,303.9803,1.1692
